n,x,y,z
1,0,0,0
2,-1.6,0,0
3,1.6,-2.98023E-08,0
4,3.2,-2.98023E-08,0
5,3.2,-2.98023E-08,-2.25
6,1.6,-2.98023E-08,-2.25
7,0,-5.96046E-08,-2.25
8,-1.6,-2.98023E-08,-2.25
9,-1.6,0,-3.65
10,0,-2.98023E-08,-3.65
11,1.6,-2.98023E-08,-3.65
12,3.2,-2.98023E-08,-3.65
13,-2.938,0.4449999,-1.14
14,-2.938,0.4449999,-1.939999
15,-2.938,0.4449999,-2.739999
16,-2.938,0.4449999,-3.539998
17,-7.264998,0,0.1049995
18,-8.865,0,0.1049997
19,-10.465,0,0.1049994
20,-12.065,0,0.1049997
21,-13.665,0,0.1049994
22,-5.765,-2.98023E-08,-2.454999
23,-7.365,0,-2.454999
24,-8.965001,0,-2.454999
25,-10.565,-2.98023E-08,-2.454999
26,-11.88,-0.03499997,-3.914999
27,-13.68,-0.03499997,-3.915
28,-11.88,-0.035,-4.814999
29,-10.565,0,-3.854999
30,-8.965001,0,-3.854999
31,-7.364999,0,-3.854999
32,-5.764997,-2.98023E-08,-3.854999
33,-1.6,-2.98023E-08,1.4
34,-2.38419E-07,0,1.4
35,1.6,-2.98023E-08,1.4
36,3.200001,-2.98023E-08,1.4
37,3.285002,-2.98023E-08,3.244999
38,1.685,0,3.244998
39,0.0849998,0,3.244999
40,-1.515,-2.98023E-08,3.244998
41,-1.515002,-2.98023E-08,4.644998
42,0.0849998,-2.98023E-08,4.644998
43,1.685,-2.98023E-08,4.644998
44,3.285,-2.98023E-08,4.644998
45,-7.265,0,1.504999
46,-8.865,0,1.504999
47,-10.465,0,1.504999
48,-12.065,0,1.504999
49,-13.665,-2.98023E-08,1.504999
50,-7.789998,-2.98023E-08,3.319998
51,-9.39,0,3.319998
52,-10.99,0,3.319998
53,-12.59,-2.98023E-08,3.319998
54,-12.59,-2.98023E-08,4.719998
55,-10.99,-2.98023E-08,4.719997
56,-9.389999,-2.98023E-08,4.719997
57,-7.79,-2.98023E-08,4.719998
58,-6.419,0.275,8.094997
59,-5.468999,0.275,8.094997
60,-4.835,0.275,8.759997
61,-4.835,0.275,9.709996
62,-4.835,0.275,10.96
63,-5.949999,-2.98023E-08,10.605
64,-5.949999,0,10.205
65,-5.95,0,8.804996