name,coordinate_system,length,height,width,origin_type,origin_descriptor,virtualobject_type,virtualobject_special_parameter,virtualobject_special_position,iot_device_true,comment
monitor_screen,monitor_origin,0.65,0.36,0.01,EDGE,LDB,CUBE,none,none,TRUE,Front side monitor screen of DELL monitor with EDGE origin and left-down-back position
echodot_btnPower,echodot_btnLeft,0.01,0.0005,0.01,PLANECENTER,D,CYLINDER,none,none,TRUE,Echodot power button on the left with PLANECENTER origin and down position
echodot_btnNoMic,echodot_btnRight,0.01,0.0005,0.01,PLANECENTER,D,CYLINDER,none,none,TRUE,Echodot power button on the right with PLANECENTER origin and down position
echodot_btnSoundUp,echodot_btnDown,0.01,0.0005,0.01,PLANECENTER,D,CYLINDER,none,none,TRUE,Echodot power button on the bottom with PLANECENTER origin and down position
echodot_btnSoundDown,echodot_btnUp,0.01,0.0005,0.01,PLANECENTER,D,CYLINDER,none,none,TRUE,Echodot power button on the top with PLANECENTER origin and down position
cord_input1_obj,cord_input1,0.027,0.001,0.027,EDGE,LUB,CUBE,none,none,TRUE,Cord input 1
cord_input2_obj,cord_input2,0.027,0.001,0.027,EDGE,LUB,CUBE,none,none,TRUE,Cord input 2
cord_input3_obj,cord_input3,0.027,0.001,0.027,EDGE,LUB,CUBE,none,none,TRUE,Cord input 3
cord_input4_obj,cord_input4,0.027,0.001,0.027,EDGE,LUB,CUBE,none,none,TRUE,Cord input 4
cord_input5_obj,cord_input5,0.027,0.001,0.027,EDGE,LUB,CUBE,none,none,TRUE,Cord input 5
bulb_smartLight,bulb_peekBulb,0.055,0.025,0.055,PLANECENTER,D,CYLINDER,none,none,TRUE,Smart light
noniot__box_obj,noniot__box,0.24,0.11,0.14,EDGE,LDB,CUBE,none,none,FALSE,none
noniot__monitor_obj,noniot__monitor,1,1,1,PLANECENTER,D,SPECIAL,0,-0.32;-0.5;0.12,FALSE,"Since special virtual object always use (1,1,1) as scaling"
noniot__doll_1_obj,noniot__doll_1,0.1,0.16,0.1,EDGE,LDB,CUBE,none,none,FALSE,none
noniot__doll_2_obj,noniot__doll_2,0.1,0.16,0.1,EDGE,LDB,CUBE,none,none,FALSE,none
noniot__doll_3_obj,noniot__doll_3,0.1,0.16,0.1,EDGE,LDB,CUBE,none,none,FALSE,none
noniot__doll_4_obj,noniot__doll_4,0.1,0.16,0.1,EDGE,LDB,CUBE,none,none,FALSE,none
static_doll_5_obj,noniot__doll_5,0.1,0.16,0.1,EDGE,LDB,CUBE,none,none,FALSE,none
noniot__bulbhouse_obj,noniot__bulbhouse,1,1,1,PLANECENTER,U,SPECIAL,1,0;-0.145;0,FALSE,"Since special virtual object always use (1,1,1) as scaling"
noniot__box2_obj,noniot__box2,0.21,0.055,0.08,EDGE,LDB,CUBE,none,none,FALSE,none
noniot__macbook_obj,noniot__macbook,1,1,1,EDGE,LDB,SPECIAL,2,0;0;0,FALSE,"Since special virtual object always use (1,1,1) as scaling"